,method,random_like_full,balanced_like_full,random_balanced_identical
0,INPS,0.0462185786072832,0.7974823587572027,0.28663557014839286
1,MUpro,0.049980008634429175,0.28511505398293274,0.025620949839476007
2,DynaMut2,0.9922827256506945,0.00033640690163891623,0.0007597930434328338
3,I-Mutant2.0,0.4890406590281312,0.4111757273727066,0.276349328111852
4,I-Mutant2.0-Seq,0.697213620014862,0.0523990475073717,0.08729519145438863
5,PoPMuSiC_2.1,0.9822790139001174,0.10593976620125013,0.26725731231978156
6,ACDC-NN,0.5734990159641651,0.0012102357201992688,0.06928315637214834
7,SAAFEC-SEQ,0.9160269101687667,0.019171589585231855,0.28250522577258613
8,MAESTRO,0.5317617414846919,4.228739368421408e-06,0.0024523478461027566
9,ThermoNet,0.7323190790464355,0.0006405352900525637,0.006091078193134495
10,PremPS,0.5900987807417867,0.007661147581955933,0.1274244154056265
11,ACDC-NN-Seq,0.8364946029205694,0.048781359122558765,0.2565967139343671
12,BayeStab,0.9076580097962592,0.06785604934445595,0.22831100724998585
13,FoldX,0.45833328729630796,0.001957008720109743,0.00327010751677478
14,AUTO-MUTE(RF),0.3687195840000014,0.6840709017778901,0.3451348858699472
15,AUTO-MUTE(SVM),0.00509929532388111,0.8197020161738476,0.013223576221359347
16,INPS3D,0.42944989916651954,0.01763771007415003,0.20647187778368412
17,DDMut,0.8890512911897114,0.005035113941416029,0.018780832437093022
18,SimBa-IB,0.4394222253266937,0.07153999890679069,0.3249930470564063
19,SimBa-SYM,0.40635293768900294,0.20230470148678556,0.6401782722534775
20,ThermoMPNN,0.4022566070823127,0.020199145883913274,0.04973173011284477
21,RaSP,0.23600529438161977,0.00988761501062928,0.004556369467604306
22,DDGun3D,0.6999244554451988,0.013741143860943932,0.23205643429978773
23,MultiMutate,0.24536445271393928,0.6837764488650366,0.2167036072741402
24,Rosetta,0.3879592089002867,0.19251572565796002,0.11940363383648414
25,DDGun,0.5232295190242685,0.006369678556922464,0.25921583407772397
26,CUPSAT,0.31317260178638995,0.000794245992774745,0.14436904503470674
