,method,random_like_full,balanced_like_full,random_balanced_identical
0,INPS,0.9957098508710222,3.6057603865688075e-06,0.00012518114330422044
1,MUpro,0.4759134371235486,7.332627713534832e-05,0.00011866636409688828
2,DynaMut2,0.28881285909702226,7.447201351485901e-09,2.6372683763880085e-09
3,I-Mutant2.0,0.32698329407113774,1.1472321370380637e-07,2.2371670565941e-08
4,I-Mutant2.0-Seq,0.872709843505413,3.568642775495992e-06,7.339331174786585e-07
5,PoPMuSiC_2.1,0.9879408868434758,4.481179053599892e-07,2.3961533356455046e-06
6,ACDC-NN,0.6331036011985508,1.5222806419742799e-05,7.748423239297516e-05
7,SAAFEC-SEQ,0.97500158371292,2.8382744560949046e-08,1.1316299271812849e-06
8,MAESTRO,0.44906104242548495,4.609629891268801e-09,2.858082017002604e-08
9,ThermoNet,0.9315679200720339,0.846882777731534,0.9583033919996358
10,PremPS,0.8250760659678005,2.8936749306697147e-07,1.6989892450804087e-08
11,ACDC-NN-Seq,0.3335968499378651,1.7758289630041804e-05,1.6706386527109926e-05
12,BayeStab,0.7912553451381845,8.741374157541829e-05,0.002464597899136091
13,FoldX,0.06107591880173165,6.18878296798513e-08,3.689299100786646e-05
14,AUTO-MUTE(RF),0.5317422449616303,1.0274970770152349e-07,1.8549465466612047e-07
15,AUTO-MUTE(SVM),0.32455905742941055,2.4336978601310474e-06,2.77736643011276e-05
16,INPS3D,0.33801532762652853,7.401201922843319e-07,2.3996721328374195e-07
17,DDMut,0.5606113260320507,7.993975401587946e-09,1.5833769910319643e-09
18,SimBa-IB,0.9606965535623483,4.292941897392084e-06,9.293440881725483e-06
19,SimBa-SYM,0.9770267658814689,7.814250012848676e-05,0.00043470442912653677
20,ThermoMPNN,0.7933808150794649,2.5893668337021006e-08,5.144999788137344e-05
21,RaSP,0.7902475201660164,1.3805221453546745e-11,8.934450011435193e-09
22,DDGun3D,0.6304699333297139,6.109710627526844e-06,1.1061562372679869e-05
23,MultiMutate,0.7999212143539045,1.1584595140365487e-07,4.097214017821376e-09
24,Rosetta,0.6129120177687223,2.1312777401083675e-08,1.3769321639304835e-05
25,DDGun,0.5051560735775111,8.10617294948053e-05,0.00022962765964360278
26,CUPSAT,0.5428869082230956,9.854326753246618e-08,4.2340873921170395e-06
