,method,PCC,PCC_value,data
0,mutatex,PCC,0.4420278068133925,full dataset
1,rosetta,PCC,0.4443245474932238,full dataset
2,rasp,PCC,0.42358223631436503,full dataset
3,ddgun_seq,PCC,0.298706311481153,full dataset
4,ddgun_3d,PCC,0.3777503739673024,full dataset
5,thermompnn,PCC,0.5149880170322759,full dataset
0,ddgun_3d,PCC_1,0.25,balanced subset
1,ddgun_seq,PCC_1,0.22,balanced subset
2,mutatex,PCC_1,0.24,balanced subset
3,rasp,PCC_1,0.34,balanced subset
4,rosetta,PCC_1,0.34,balanced subset
5,thermompnn,PCC_1,0.46,balanced subset
6,ddgun_3d,PCC_2,0.21,balanced subset
7,ddgun_seq,PCC_2,0.11,balanced subset
8,mutatex,PCC_2,0.28,balanced subset
9,rasp,PCC_2,0.32,balanced subset
10,rosetta,PCC_2,0.26,balanced subset
11,thermompnn,PCC_2,0.38,balanced subset
12,ddgun_3d,PCC_3,0.28,balanced subset
13,ddgun_seq,PCC_3,0.2,balanced subset
14,mutatex,PCC_3,0.34,balanced subset
15,rasp,PCC_3,0.39,balanced subset
16,rosetta,PCC_3,0.35,balanced subset
17,thermompnn,PCC_3,0.49,balanced subset
18,ddgun_3d,PCC_4,0.36,balanced subset
19,ddgun_seq,PCC_4,0.32,balanced subset
20,mutatex,PCC_4,0.33,balanced subset
21,rasp,PCC_4,0.34,balanced subset
22,rosetta,PCC_4,0.33,balanced subset
23,thermompnn,PCC_4,0.45,balanced subset
24,ddgun_3d,PCC_5,0.23,balanced subset
25,ddgun_seq,PCC_5,0.12,balanced subset
26,mutatex,PCC_5,0.36,balanced subset
27,rasp,PCC_5,0.25,balanced subset
28,rosetta,PCC_5,0.28,balanced subset
29,thermompnn,PCC_5,0.42,balanced subset
30,ddgun_3d,PCC_6,0.32,balanced subset
31,ddgun_seq,PCC_6,0.28,balanced subset
32,mutatex,PCC_6,0.38,balanced subset
33,rasp,PCC_6,0.41,balanced subset
34,rosetta,PCC_6,0.42,balanced subset
