,method,PCC,PCC_value,data
35,thermompnn,PCC_6,0.5,balanced subset
36,ddgun_3d,PCC_7,0.33,balanced subset
37,ddgun_seq,PCC_7,0.27,balanced subset
38,mutatex,PCC_7,0.34,balanced subset
39,rasp,PCC_7,0.38,balanced subset
40,rosetta,PCC_7,0.38,balanced subset
41,thermompnn,PCC_7,0.48,balanced subset
42,ddgun_3d,PCC_8,0.28,balanced subset
43,ddgun_seq,PCC_8,0.21,balanced subset
44,mutatex,PCC_8,0.27,balanced subset
45,rasp,PCC_8,0.3,balanced subset
46,rosetta,PCC_8,0.32,balanced subset
47,thermompnn,PCC_8,0.48,balanced subset
48,ddgun_3d,PCC_9,0.3,balanced subset
49,ddgun_seq,PCC_9,0.27,balanced subset
50,mutatex,PCC_9,0.31,balanced subset
51,rasp,PCC_9,0.32,balanced subset
52,rosetta,PCC_9,0.36,balanced subset
53,thermompnn,PCC_9,0.41,balanced subset
54,ddgun_3d,PCC_10,0.29,balanced subset
55,ddgun_seq,PCC_10,0.23,balanced subset
56,mutatex,PCC_10,0.39,balanced subset
57,rasp,PCC_10,0.36,balanced subset
58,rosetta,PCC_10,0.37,balanced subset
59,thermompnn,PCC_10,0.41,balanced subset
0,ddgun_3d,PCC_1,0.4,random subset
1,ddgun_seq,PCC_1,0.27,random subset
2,mutatex,PCC_1,0.49,random subset
3,rasp,PCC_1,0.48,random subset
4,rosetta,PCC_1,0.49,random subset
5,thermompnn,PCC_1,0.53,random subset
6,ddgun_3d,PCC_2,0.49,random subset
7,ddgun_seq,PCC_2,0.45,random subset
8,mutatex,PCC_2,0.45,random subset
9,rasp,PCC_2,0.61,random subset
10,rosetta,PCC_2,0.57,random subset
11,thermompnn,PCC_2,0.66,random subset
12,ddgun_3d,PCC_3,0.35,random subset
13,ddgun_seq,PCC_3,0.27,random subset
14,mutatex,PCC_3,0.32,random subset
15,rasp,PCC_3,0.41,random subset
16,rosetta,PCC_3,0.4,random subset
17,thermompnn,PCC_3,0.51,random subset
18,ddgun_3d,PCC_4,0.39,random subset
19,ddgun_seq,PCC_4,0.29,random subset
20,mutatex,PCC_4,0.39,random subset
21,rasp,PCC_4,0.42,random subset
22,rosetta,PCC_4,0.34,random subset
23,thermompnn,PCC_4,0.44,random subset
24,ddgun_3d,PCC_5,0.26,random subset
25,ddgun_seq,PCC_5,0.25,random subset
26,mutatex,PCC_5,0.29,random subset
27,rasp,PCC_5,0.33,random subset
28,rosetta,PCC_5,0.35,random subset
29,thermompnn,PCC_5,0.45,random subset
30,ddgun_3d,PCC_6,0.47,random subset
31,ddgun_seq,PCC_6,0.43,random subset
32,mutatex,PCC_6,0.43,random subset
33,rasp,PCC_6,0.4,random subset
34,rosetta,PCC_6,0.37,random subset
35,thermompnn,PCC_6,0.47,random subset
36,ddgun_3d,PCC_7,0.37,random subset
37,ddgun_seq,PCC_7,0.3,random subset
38,mutatex,PCC_7,0.5,random subset
39,rasp,PCC_7,0.45,random subset
40,rosetta,PCC_7,0.47,random subset
41,thermompnn,PCC_7,0.51,random subset
42,ddgun_3d,PCC_8,0.32,random subset
43,ddgun_seq,PCC_8,0.24,random subset
44,mutatex,PCC_8,0.52,random subset
45,rasp,PCC_8,0.4,random subset
46,rosetta,PCC_8,0.5,random subset
47,thermompnn,PCC_8,0.48,random subset
48,ddgun_3d,PCC_9,0.26,random subset
49,ddgun_seq,PCC_9,0.15,random subset
50,mutatex,PCC_9,0.38,random subset
51,rasp,PCC_9,0.29,random subset
52,rosetta,PCC_9,0.34,random subset
53,thermompnn,PCC_9,0.37,random subset
54,ddgun_3d,PCC_10,0.37,random subset
55,ddgun_seq,PCC_10,0.3,random subset
56,mutatex,PCC_10,0.43,random subset
57,rasp,PCC_10,0.4,random subset
58,rosetta,PCC_10,0.46,random subset
59,thermompnn,PCC_10,0.45,random subset
