,method,PCC,PCC_value,data
0,mutatex,PCC,0.3300119153840775,full dataset
1,rosetta,PCC,0.31115847156543075,full dataset
2,rasp,PCC,0.29615609024900463,full dataset
3,ddgun_seq,PCC,0.12948753807060137,full dataset
4,ddgun_3d,PCC,0.15603820862887233,full dataset
5,thermompnn,PCC,0.35765909494927167,full dataset
0,ddgun_3d,PCC_1,0.2,balanced subset
1,ddgun_seq,PCC_1,0.21,balanced subset
2,mutatex,PCC_1,0.3,balanced subset
3,rasp,PCC_1,0.29,balanced subset
4,rosetta,PCC_1,0.22,balanced subset
5,thermompnn,PCC_1,0.34,balanced subset
6,ddgun_3d,PCC_2,0.2,balanced subset
7,ddgun_seq,PCC_2,0.18,balanced subset
8,mutatex,PCC_2,0.35,balanced subset
9,rasp,PCC_2,0.28,balanced subset
10,rosetta,PCC_2,0.26,balanced subset
11,thermompnn,PCC_2,0.35,balanced subset
12,ddgun_3d,PCC_3,0.24,balanced subset
13,ddgun_seq,PCC_3,0.22,balanced subset
14,mutatex,PCC_3,0.3,balanced subset
15,rasp,PCC_3,0.32,balanced subset
16,rosetta,PCC_3,0.31,balanced subset
17,thermompnn,PCC_3,0.38,balanced subset
18,ddgun_3d,PCC_4,0.34,balanced subset
19,ddgun_seq,PCC_4,0.31,balanced subset
20,mutatex,PCC_4,0.26,balanced subset
21,rasp,PCC_4,0.31,balanced subset
22,rosetta,PCC_4,0.33,balanced subset
23,thermompnn,PCC_4,0.42,balanced subset
24,ddgun_3d,PCC_5,0.2,balanced subset
25,ddgun_seq,PCC_5,0.14,balanced subset
26,mutatex,PCC_5,0.21,balanced subset
27,rasp,PCC_5,0.26,balanced subset
28,rosetta,PCC_5,0.23,balanced subset
29,thermompnn,PCC_5,0.33,balanced subset
30,ddgun_3d,PCC_6,0.28,balanced subset
31,ddgun_seq,PCC_6,0.29,balanced subset
32,mutatex,PCC_6,0.4,balanced subset
33,rasp,PCC_6,0.41,balanced subset
34,rosetta,PCC_6,0.32,balanced subset
35,thermompnn,PCC_6,0.46,balanced subset
36,ddgun_3d,PCC_7,0.23,balanced subset
37,ddgun_seq,PCC_7,0.23,balanced subset
38,mutatex,PCC_7,0.28,balanced subset
39,rasp,PCC_7,0.35,balanced subset
40,rosetta,PCC_7,0.3,balanced subset
41,thermompnn,PCC_7,0.42,balanced subset
42,ddgun_3d,PCC_8,0.25,balanced subset
43,ddgun_seq,PCC_8,0.24,balanced subset
44,mutatex,PCC_8,0.25,balanced subset
45,rasp,PCC_8,0.28,balanced subset
46,rosetta,PCC_8,0.26,balanced subset
47,thermompnn,PCC_8,0.4,balanced subset
48,ddgun_3d,PCC_9,0.36,balanced subset
49,ddgun_seq,PCC_9,0.29,balanced subset
50,mutatex,PCC_9,0.33,balanced subset
51,rasp,PCC_9,0.37,balanced subset
52,rosetta,PCC_9,0.29,balanced subset
53,thermompnn,PCC_9,0.45,balanced subset
54,ddgun_3d,PCC_10,0.13,balanced subset
55,ddgun_seq,PCC_10,0.13,balanced subset
56,mutatex,PCC_10,0.35,balanced subset
57,rasp,PCC_10,0.24,balanced subset
58,rosetta,PCC_10,0.26,balanced subset
59,thermompnn,PCC_10,0.29,balanced subset
0,ddgun_3d,PCC_1,0.14,random subset
1,ddgun_seq,PCC_1,0.15,random subset
2,mutatex,PCC_1,0.18,random subset
3,rasp,PCC_1,0.19,random subset
4,rosetta,PCC_1,0.24,random subset
5,thermompnn,PCC_1,0.28,random subset
6,ddgun_3d,PCC_2,0.15,random subset
7,ddgun_seq,PCC_2,0.11,random subset
8,mutatex,PCC_2,0.38,random subset
9,rasp,PCC_2,0.34,random subset
10,rosetta,PCC_2,0.37,random subset
11,thermompnn,PCC_2,0.39,random subset
12,ddgun_3d,PCC_3,0.16,random subset
13,ddgun_seq,PCC_3,0.15,random subset
14,mutatex,PCC_3,0.3,random subset
15,rasp,PCC_3,0.17,random subset
16,rosetta,PCC_3,0.24,random subset
17,thermompnn,PCC_3,0.2,random subset
18,ddgun_3d,PCC_4,0.09,random subset
19,ddgun_seq,PCC_4,0.08,random subset
20,mutatex,PCC_4,0.21,random subset
21,rasp,PCC_4,0.19,random subset
22,rosetta,PCC_4,0.19,random subset
23,thermompnn,PCC_4,0.23,random subset
24,ddgun_3d,PCC_5,0.3,random subset
25,ddgun_seq,PCC_5,0.16,random subset
26,mutatex,PCC_5,0.3,random subset
27,rasp,PCC_5,0.41,random subset
28,rosetta,PCC_5,0.36,random subset
29,thermompnn,PCC_5,0.5,random subset
30,ddgun_3d,PCC_6,0.14,random subset
31,ddgun_seq,PCC_6,0.17,random subset
32,mutatex,PCC_6,0.46,random subset
33,rasp,PCC_6,0.35,random subset
34,rosetta,PCC_6,0.36,random subset
35,thermompnn,PCC_6,0.4,random subset
36,ddgun_3d,PCC_7,0.14,random subset
37,ddgun_seq,PCC_7,0.17,random subset
