,method,PCC,SCC,MAE,PCC_limited,SCC_limited,MAE_limited
0,mutatex,0.4420278068133925,0.5037250364629765,1.2022696568627451,0.3300119153840775,0.37744652046340454,1.50048421686747
1,rosetta,0.4443245474932238,0.47237211949758245,1.173699820261438,0.31115847156543075,0.3352158265203717,1.459107439759036
2,rasp,0.42358223631436503,0.4498818779583727,1.137289998141171,0.29615609024900463,0.3387102989301135,1.3977644161721965
3,ddgun_seq,0.298706311481153,0.3100413720653433,1.3092952898550725,0.12948753807060137,0.1634030546738987,1.5197740963855424
4,ddgun_3d,0.3777503739673024,0.3661029940229216,1.1608839869281047,0.15603820862887233,0.20103531495319862,1.381340361445783
5,thermompnn,0.5149880170322759,0.579906624019355,0.968862908496732,0.35765909494927167,0.4372417984241118,1.1534015060240965
6,mutatex_rosetta,0.48009637247612386,0.5115437205576224,1.1240551633986928,0.35128662039854924,0.37358927826737115,1.4244888403614457
7,mutatex_rasp,0.4711793294271784,0.4999168387073136,1.1074831472156241,0.34604236286157974,0.3769982441546285,1.3963524315593592
8,mutatex_ddgun_seq,0.470991669667227,0.49652522633975343,1.080024199346405,0.3161568243619096,0.36181571256584655,1.323175813253012
9,mutatex_ddgun_3d,0.48325946091782934,0.5107815260740407,1.0256620833333334,0.32945169361253646,0.38017700523664755,1.2561064759036145
10,mutatex_thermompnn,0.5049923601953671,0.5621898415578711,0.9717837499999998,0.37217499477628757,0.4257340157284154,1.2178005120481927
11,rosetta_rasp,0.45477640864402935,0.4800241071478583,1.1057820204107542,0.3195480647868517,0.3510247803385335,1.379000775682762
12,rosetta_ddgun_seq,0.4543125770515933,0.4707505761818766,1.084947246732026,0.27701561523278706,0.31971288015820765,1.3590814307228916
13,rosetta_ddgun_3d,0.4663081069534413,0.4814899460881984,1.034400138888889,0.29237901749029943,0.33147387740311585,1.2785125150602408
14,rosetta_thermompnn,0.5016882519927732,0.5411026686262326,0.9723965277777777,0.3514119295239643,0.3964521898326289,1.217433418674699
15,rasp_ddgun_seq,0.42601751851957476,0.4518546366387467,1.1010731105006488,0.2503534866209827,0.32506541738657707,1.3572053762853524
