variable1, variable2, PCC, SCC, MAE
ddg, ddgun_seq, PCC:0.30049320300370364, SCC: 0.3109481536224178, MAE: 1.3094252252252252
ddg, ddgun_3d, PCC:0.3777503739673024, SCC: 0.3661029940229216, MAE: 1.1608839869281047
ddg, mutatex, PCC:0.4420278068133925, SCC: 0.5037250364629765, MAE: 1.2022696568627451
ddg, rasp, PCC:0.42358223631436503, SCC: 0.4498818779583727, MAE: 1.137289998141171
ddg, rosetta, PCC:0.4443245474932238, SCC: 0.47237211949758245, MAE: 1.173699820261438
ddg, thermompnn, PCC:0.5149880170322759, SCC: 0.579906624019355, MAE: 0.968862908496732
ddgun_seq, ddgun_3d, PCC:0.9141613608471026, SCC: 0.9395732251203162, MAE: 0.35942028985507246
ddgun_seq, mutatex, PCC:0.3851530501861995, SCC: 0.48491001974367576, MAE: 1.2464976449275365
ddgun_seq, rasp, PCC:0.5944485864085404, SCC: 0.6152957292453936, MAE: 0.9385961995676804
ddgun_seq, rosetta, PCC:0.48922797517428473, SCC: 0.5466173045043773, MAE: 1.1070163586956523
ddgun_seq, thermompnn, PCC:0.5530685109657612, SCC: 0.5428120420723291, MAE: 0.8460251811594203
ddgun_3d, mutatex, PCC:0.46284321025942404, SCC: 0.5298222109390566, MAE: 1.102977205882353
ddgun_3d, rasp, PCC:0.6968192658339257, SCC: 0.6859824487119678, MAE: 0.7931674114358457
ddgun_3d, rosetta, PCC:0.5828058037717351, SCC: 0.5919039692002194, MAE: 0.9679227287581699
ddgun_3d, thermompnn, PCC:0.6316026607952026, SCC: 0.5843801310574763, MAE: 0.6726478758169934
mutatex, rasp, PCC:0.6916776963077738, SCC: 0.7635974984300469, MAE: 0.7718042000513461
mutatex, rosetta, PCC:0.7028972140013484, SCC: 0.7735506307939934, MAE: 0.7630730392156863
mutatex, thermompnn, PCC:0.6620563751261105, SCC: 0.7360748030451663, MAE: 0.9294776633986928
rasp, rosetta, PCC:0.8253472253575893, SCC: 0.8025763230622738, MAE: 0.6375149526342084
rasp, thermompnn, PCC:0.7635695822630345, SCC: 0.7504793458701837, MAE: 0.7202496640779722
rosetta, thermompnn, PCC:0.7246095277383646, SCC: 0.748178671159434, MAE: 0.8383406699346405
