uniprot
P00698
P0A9X9
O74035
P29160
P0AA04
P01236
P11961
P00974
P02185
P19614
P61626
P08877
P29957
P02925
P02633
P05121
P37001
P01009
P11540
P07107
P24821
P0A877
P00025
P62593
P00750
P37957
P0AEX9
P0A7Y4
Q9REI6
P00818
Q08012
P04637
P0AE67
Q9H782
P0A2D5
P06396
P61991
P00004
P42771
P01241
P12931
P00094
P00808
P81708
P00644
P06654
P63159
P0A910
P02640
P32081
P00099
P02751
P00720
P00782
P09850
P04925
P07320
